lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
earlysocog-fm,s45,ADS,ADS4,11,2.8,8.36,noerror,NA,"standing on mom, back turned"
earlysocog-fm,s45,IDS,IDS4,12,0.02,5.85,noerror,NA,"standing on mom, back turned"
earlysocog-fm,s45,ADS,ADS6,13,2.63,5.31,noerror,NA,"standing on mom, back turned"
earlysocog-fm,s45,IDS,IDS6,14,1.52,6.88,noerror,NA,"standing on mom, back turned"
earlysocog-fm,s45,ADS,ADS8,15,1.45,6.85,noerror,NA,"standing on mom, back turned"
earlysocog-fm,s45,IDS,IDS8,16,5.51,7.11,noerror,NA,"standing on mom, back turned"
earlysocog-fm,s47,IDS,IDS1,1,2.74,5.69,noerror,NA,NA
earlysocog-fm,s47,ADS,ADS1,2,0.8,43.15,noerror,NA,NA
earlysocog-fm,s47,IDS,IDS2,3,2.68,9.18,noerror,NA,NA
earlysocog-fm,s47,ADS,ADS2,4,0.65,7.2,noerror,NA,NA
earlysocog-fm,s47,ADS,ADS3,5,2.29,6.63,noerror,NA,NA
earlysocog-fm,s47,IDS,IDS3,6,1.33,12.62,noerror,NA,NA
earlysocog-fm,s47,IDS,IDS4,7,0.55,7.5,noerror,NA,NA
earlysocog-fm,s47,ADS,ADS4,8,1.17,8.79,noerror,NA,NA
earlysocog-fm,s47,ADS,ADS5,9,0.21,5.69,noerror,NA,NA
earlysocog-fm,s47,IDS,IDS5,10,2.22,6.71,noerror,NA,NA
earlysocog-fm,s47,ADS,ADS6,11,0.13,6.02,noerror,NA,NA
earlysocog-fm,s47,IDS,IDS6,12,0.95,7.12,noerror,NA,NA
earlysocog-fm,s47,IDS,IDS7,13,0.77,8.59,noerror,NA,NA
earlysocog-fm,s47,ADS,ADS7,14,1.57,12.9,noerror,NA,NA
earlysocog-fm,s47,ADS,ADS8,15,0.87,6.84,noerror,NA,NA
earlysocog-fm,s47,IDS,IDS8,16,0.35,5.67,noerror,NA,NA
earlysocog-fm,s49,ADS,ADS1,1,2.55,8.04,noerror,NA,NA
earlysocog-fm,s49,IDS,IDS1,2,2.46,14.97,noerror,NA,NA
earlysocog-fm,s49,ADS,ADS2,3,2.09,5.31,noerror,NA,NA
earlysocog-fm,s49,IDS,IDS2,4,2.21,9.11,noerror,NA,NA
earlysocog-fm,s49,IDS,IDS3,5,2.39,8.7,noerror,NA,NA
earlysocog-fm,s49,ADS,ADS3,6,0.5,7.87,noerror,NA,NA
earlysocog-fm,s49,ADS,ADS4,7,1.14,9.56,noerror,NA,NA
earlysocog-fm,s49,IDS,IDS4,8,2.55,7.17,noerror,NA,baby standing on mom
earlysocog-fm,s49,IDS,IDS5,9,3.52,9.06,noerror,NA,baby standing on mom
earlysocog-fm,s49,ADS,ADS5,10,2.45,6.07,noerror,NA,baby standing on mom
earlysocog-fm,s49,IDS,IDS6,11,7.78,12.62,noerror,NA,baby standing on mom
earlysocog-fm,s49,ADS,ADS6,12,0.3,5.02,noerror,NA,NA
earlysocog-fm,s49,ADS,ADS7,13,0.4,10.14,noerror,NA,NA
earlysocog-fm,s49,IDS,IDS7,14,0.44,4.53,noerror,NA,NA
earlysocog-fm,s49,IDS,IDS8,15,1.3,9.51,noerror,NA,NA
earlysocog-fm,s49,ADS,ADS8,16,0.11,4.03,noerror,NA,NA
