lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
musdev-utm,MB_23,ADS,ADS8,8,10.499,12.34,noerror,NA,NA
musdev-utm,MB_23,IDS,IDS8,8,6.147,6.147,noerror,NA,NA
musdev-utm,MB_25,ADS,ADS1,1,13.744,14.758,noerror,NA,NA
musdev-utm,MB_25,IDS,IDS1,1,16.303,18,noerror,NA,NA
musdev-utm,MB_25,ADS,ADS2,2,7.191,9.047,noerror,NA,NA
musdev-utm,MB_25,IDS,IDS2,2,14.245,16.85,noerror,NA,NA
musdev-utm,MB_25,IDS,IDS3,3,8.019,8.019,noerror,NA,NA
musdev-utm,MB_25,ADS,ADS3,3,10.343,11.934,noerror,NA,NA
musdev-utm,MB_25,ADS,ADS4,4,2.324,2.324,noerror,NA,NA
musdev-utm,MB_25,IDS,IDS4,4,8.643,9.548,noerror,NA,NA
musdev-utm,MB_25,IDS,IDS5,5,6.427,7.909,noerror,NA,NA
musdev-utm,MB_25,ADS,ADS5,5,13.76,16.739,noerror,NA,NA
musdev-utm,MB_25,IDS,IDS6,6,11.918,17.971,noerror,NA,NA
musdev-utm,MB_25,ADS,ADS6,6,13.821,17.689,noerror,NA,NA
musdev-utm,MB_25,ADS,ADS7,7,5.586,7.318,noerror,NA,NA
musdev-utm,MB_25,IDS,IDS7,7,11.404,13.916,noerror,NA,NA
musdev-utm,MB_25,IDS,IDS8,8,3.713,3.713,noerror,NA,NA
musdev-utm,MB_25,ADS,ADS8,8,13.666,14.961,noerror,NA,NA
musdev-utm,MB_26,IDS,IDS5,1,5.741,5.741,noerror,NA,NA
musdev-utm,MB_26,ADS,ADS5,1,12.246,17.94,noerror,NA,NA
musdev-utm,MB_26,ADS,ADS7,2,4.32,5.179,noerror,NA,NA
musdev-utm,MB_26,IDS,IDS7,2,11.484,17.973,noerror,NA,NA
musdev-utm,MB_26,ADS,ADS1,3,9.266,12.417,noerror,NA,NA
musdev-utm,MB_26,IDS,IDS1,3,10.515,14.477,noerror,NA,NA
musdev-utm,MB_26,ADS,ADS3,4,3.931,3.931,noerror,NA,NA
musdev-utm,MB_26,IDS,IDS3,4,11.123,8,noerror,NA,NA
musdev-utm,MB_26,ADS,ADS2,5,4.696,4.696,noerror,NA,NA
musdev-utm,MB_26,IDS,IDS2,5,9.827,11.902,noerror,NA,NA
musdev-utm,MB_26,IDS,IDS4,6,4.743,4.743,noerror,NA,NA
musdev-utm,MB_26,ADS,ADS4,6,5.132,6.536,noerror,NA,NA
musdev-utm,MB_26,IDS,IDS6,7,3.946,4.43,noerror,NA,NA
musdev-utm,MB_26,ADS,ADS6,7,4.603,7.098,noerror,NA,NA
musdev-utm,MB_26,IDS,IDS8,8,1.748,1.748,noerror,NA,NA
musdev-utm,MB_26,ADS,ADS8,8,2.855,2.855,noerror,NA,NA
musdev-utm,MB_27,ADS,ADS5,1,12.06,17.456,noerror,NA,NA
musdev-utm,MB_27,IDS,IDS5,1,5.304,5.304,noerror,NA,NA
musdev-utm,MB_27,IDS,IDS7,2,7.502,8.516,noerror,NA,NA
musdev-utm,MB_27,ADS,ADS7,2,5.71,6.692,noerror,NA,NA
musdev-utm,MB_27,IDS,IDS1,3,14.243,17.784,noerror,NA,NA
musdev-utm,MB_27,ADS,ADS1,3,3.947,4.306,noerror,NA,NA
musdev-utm,MB_27,IDS,IDS3,4,10.638,14.491,noerror,NA,NA
musdev-utm,MB_27,ADS,ADS3,4,4.025,4.633,noerror,NA,NA
musdev-utm,MB_27,IDS,IDS2,5,4.665,5.46,noerror,NA,NA
musdev-utm,MB_27,ADS,ADS2,5,5.241,5.241,noerror,NA,NA
musdev-utm,MB_27,ADS,ADS4,6,3.604,3.604,noerror,NA,NA
musdev-utm,MB_27,IDS,IDS4,6,11.699,17.986,noerror,NA,NA
musdev-utm,MB_27,ADS,ADS6,7,2.98,2.98,noerror,NA,NA
musdev-utm,MB_27,IDS,IDS6,7,4.353,6.334,noerror,NA,NA
musdev-utm,MB_27,ADS,ADS8,8,14.758,18.019,noerror,NA,NA
musdev-utm,MB_27,IDS,IDS8,8,7.629,8.378,noerror,NA,NA
musdev-utm,MB_28,ADS,ADS5,1,16.458,18,noerror,NA,NA
musdev-utm,MB_28,IDS,IDS5,1,12.511,16.286,noerror,NA,NA
musdev-utm,MB_28,IDS,IDS7,2,3.573,3.573,noerror,NA,NA
musdev-utm,MB_28,ADS,ADS7,2,8.346,9.422,noerror,NA,NA
musdev-utm,MB_28,IDS,IDS1,3,13.072,16.426,noerror,NA,NA
musdev-utm,MB_28,ADS,ADS1,3,10.858,12.23,noerror,NA,NA
musdev-utm,MB_28,IDS,IDS3,4,6.022,7.411,noerror,NA,NA
musdev-utm,MB_28,ADS,ADS3,4,5.367,5.367,noerror,NA,NA
musdev-utm,MB_28,IDS,IDS2,5,2.605,2.605,noerror,NA,NA
musdev-utm,MB_28,ADS,ADS2,5,18,18,noerror,NA,NA
musdev-utm,MB_28,ADS,ADS4,6,5.616,6.879,noerror,NA,NA
musdev-utm,MB_28,IDS,IDS4,6,5.086,5.086,noerror,NA,NA
musdev-utm,MB_28,ADS,ADS6,7,5.538,5.538,noerror,NA,NA
musdev-utm,MB_28,IDS,IDS6,7,3.963,3.963,noerror,NA,NA
musdev-utm,MB_28,ADS,ADS8,8,3.853,3.853,noerror,NA,NA
musdev-utm,MB_28,IDS,IDS8,8,2.605,2.605,noerror,NA,NA
musdev-utm,MB_29,ADS,ADS5,1,8.611,10.327,noerror,NA,NA
musdev-utm,MB_29,IDS,IDS5,1,7.8,12.245,noerror,NA,NA
musdev-utm,MB_29,IDS,IDS7,2,8.502,11.185,noerror,NA,NA
musdev-utm,MB_29,ADS,ADS7,2,5.866,5.866,noerror,NA,NA
musdev-utm,MB_29,IDS,IDS1,3,6.708,7.925,noerror,NA,NA
musdev-utm,MB_29,ADS,ADS1,3,4.524,4.524,noerror,NA,NA
musdev-utm,MB_29,IDS,IDS3,4,4.306,4.306,noerror,NA,NA
musdev-utm,MB_29,ADS,ADS3,4,5.601,5.601,noerror,NA,NA
musdev-utm,MB_29,IDS,IDS2,5,9.842,11.871,noerror,NA,NA
musdev-utm,MB_29,ADS,ADS2,5,2.902,2.902,noerror,NA,NA
musdev-utm,MB_29,ADS,ADS4,6,3.105,3.105,noerror,NA,NA
musdev-utm,MB_29,IDS,IDS4,6,5.772,5.772,noerror,NA,NA
musdev-utm,MB_29,ADS,ADS6,7,13.495,17.911,noerror,NA,NA
musdev-utm,MB_29,IDS,IDS6,7,14.102,15.786,noerror,NA,NA
musdev-utm,MB_29,ADS,ADS8,8,18,18,noerror,NA,NA
musdev-utm,MB_29,IDS,IDS8,8,2.964,2.964,noerror,NA,NA
musdev-utm,MB_31,ADS,ADS1,1,10.296,11.949,noerror,NA,NA
musdev-utm,MB_31,IDS,IDS1,1,13.417,17.972,noerror,NA,NA
musdev-utm,MB_31,ADS,ADS2,2,7.488,7.488,noerror,NA,NA
musdev-utm,MB_31,IDS,IDS2,2,8.673,9.172,noerror,NA,NA
musdev-utm,MB_31,IDS,IDS3,3,14.32,17.985,noerror,NA,NA
